"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-01-01","1.0",,"6.6","7.9",
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-01-02",,,"5.0","6.2","4.3"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-01-03",,,"4.2","5.2",
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-01-04","0.3",,"3.1","4.3","2.2"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-01-05","3.0",,"4.8","5.7","2.7"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-01-06",,,"4.0","5.1","3.0"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-01-07",,,"6.0",,
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-01-08","2.5",,"6.4",,
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-01-09","1.5",,"4.2","6.1",
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-01-10",,,"3.1","4.4","2.0"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-01-11","4.1",,"4.7","7.2","1.7"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-01-12","2.5",,"6.4","7.5",
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-01-13","7.1",,"8.3",,"6.7"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-01-14","2.0",,"6.0",,
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-01-15",,,"5.3","7.0",
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-01-16",,,"5.5",,
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-01-17","8.9",,"3.6",,
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-01-18","2.0",,"0.0","2.0",
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-01-19",,,"-0.9","3.1","-3.0"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-01-20",,,"-1.7",,
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-01-21",,,"-1.8","2.7",
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-01-22",,,"-1.6",,"-3.4"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-01-23","1.8",,"-0.8","0.4","-1.8"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-01-24",,,"-0.4",,
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-01-25",,,"0.7",,"-2.5"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-01-26","1.3",,"6.1","7.2","1.8"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-01-27","7.9",,"5.1",,
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-01-28","20.1",,"2.6",,
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-01-29",,,"1.4","4.7",
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-01-30","4.3",,"0.2","1.6",
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-01-31",,,"-2.1","-0.3",
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-02-01","4.6",,"2.4","5.8","-1.8"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-02-02","20.1",,"1.9",,
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-02-03",,,"2.6",,
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-02-04",,,"1.5","3.3","-1.0"
"BE000006447","UCCLE, BE","50.8","4.35","104.0","2019-02-05",,,"3.3","5.7","1.6"
